Country,TotalPopulation(M),SmartphonePenetration,SmartphoneUsers(M),Year
United Kingdom,67.0,82.9%,55.5,2019
Germany,82.4,79.9%,65.9,2019
United States,329.1,79.1%,260.2,2019
France,65.5,77.5%,50.7,2019
Spain,46.4,74.3%,34.5,2019
South Korea,51.3,70.4%,36.1,2019
Russia,143.9,66.3%,95.4,2019
Italy,59.2,60.8%,36.0,2019
China,1420.0,59.9%,851.2,2019
Japan,126.9,57.2%,72.6,2019
Iran,82.8,54.8%,45.4,2019
Turkey,83.0,54.0%,44.8,2019
Mexico,132.3,49.5%,65.6,2019
Brazil,212.4,45.6%,96.9,2019
Vietnam,97.4,44.9%,43.7,2019
Philippines,108.1,33.6%,36.3,2019
Indonesia,269.5,31.1%,83.9,2019
India,1300.0,25.3%,345.9,2019
Bangladesh,168.1,18.5%,31.0,2019
Pakistan,204.6,15.9%,32.5,2019
