Rank,Country,TotalPopulation(M),SmartphonePenetration,SmartphoneUsers(M),Year
1,United Arab Emirates,9.3,80.6,7.5,2017
2,Sweden,9.9,72.2,7.1,2017
3,Switzerland,8.4,71.7,6,2017
4,South Korea,50.7,71.5,36.2,2017
5,Taiwan,23.5,70.4,16.5,2017
6,Canada,36.6,69.8,25.5,2017
7,United States,326.4,69.3,226.2,2017
8,Netherlands,17,68.8,11.7,2017
9,Germany,80.6,68.8,55.4,2017
10,United Kingdom,65.5,68.6,44.9,2017
11,Australia,24.6,67.7,16.6,2017
12,Belgium,11.4,67.3,7.7,2017
13,Spain,46,66.8,30.7,2017
14,Azerbaijan,9.9,66.4,6.6,2017
15,Italy,59.7,65.8,39.3,2017
16,France,64.9,65.3,42.3,2017
17,Saudi Arabia,32.7,65.2,21.3,2017
18,Portugal,10.2,65.0,6.6,2017
19,Czech Republic,10.5,64.8,6.8,2017
20,Malaysia,31.1,64.1,19.9,2017
21,Poland,38.5,63.4,24.4,2017
22,Greece,10.8,59.5,6.4,2017
23,Chile,18.3,56.0,10.2,2017
24,Romania,19.2,56.0,10.7,2017
25,Russia,143.3,54.7,78.3,2017
26,China,1380.0,51.7,717.3,2017
27,Japan,126,50.1,63,2017
28,Turkey,80.4,49.8,40,2017
29,Argentina,44.2,48.2,21.3,2017
30,Mexico,130.2,40.7,52.9,2017
31,Thailand,68.2,40.5,27.6,2017
32,Kazakhstan,18,39.2,7,2017
33,Brazil,211.2,37.7,79.5,2017
34,Iran,80.9,37.1,30,2017
35,Venezuela,31.9,36.2,11.5,2017
36,South Africa,55.4,36.2,20,2017
37,Peru,32.1,36.0,11.5,2017
38,Colombia,49,35.4,17.3,2017
39,Morocco,35.2,33.4,11.7,2017
40,Algeria,41,32.4,13.2,2017
41,Egypt,95.2,30.4,28.9,2017
42,Vietnam,95.4,26.4,25.1,2017
43,Ukraine,44.4,23.5,10.4,2017
44,Philippines,103.7,23.3,24.1,2017
45,India,1340.0,22.3,300.1,2017
46,Indonesia,263.5,20.7,54.4,2017
47,Iraq,38.6,19.9,7.7,2017
48,Nigeria,191.8,14.8,28.3,2017
49,Pakistan,200.8,6.7,13.5,2017
50,Bangladesh,164.8,5.2,8.5,2017
