Rank,Country,TotalPopulation(M),SmartphonePenetration(%),SmartphoneUsers(M),Year
1,United Kingdom,66.5,83,54.7,2018
2,Netherlands,17,79.3,13.5,2018
3,Sweden,9.9,78.8,7.8,2018
4,Germany,82.2,78.8,64.8,2018
5,United States,326.7,77.0,251.6,2018
6,Belgium,11.4,76.6,8.8,2018
7,France,65.2,76.0,32.5,2018
8,Spain,46.3,72.5,33.6,2018
9,Canada,36.9,72.1,26.6,2018
10,Australia,24.7,68.6,16.9,2018
11,South Korea,51.1,68.0,34.5,2018
12,Kazakhstan,18.4,64.9,11.9,2018
13,Poland,38.1,64.0,24.3,2018
14,Russia,143.9,63.8,91.8,2018
15,Taiwan,23.6,60.0,14.2,2018
16,Italy,59.2,58.0,34.3,2018
17,Malaysia,32,57.5,18.4,2018
18,Japan,127.1,55.3,70.3,2018
19,China,1410.0,55.3,782.8,2018
20,Romania,19.5,53.8,10.5,2018
21,Ukraine,44,48.3,21.2,2018
22,Argentina,44.6,46.9,20.9,2018
23,Saudi Arabia,33.5,46.0,15.4,2018
24,Mexico,130.7,45.6,59.5,2018
25,Philippines,106.5,44.9,47.8,2018
26,Chile,18.1,44.2,8,2018
27,Thailand,69.1,43.7,30.2,2018
28,Brazil,210.8,41.3,87.1,2018
29,Venezuela,32.3,40.8,13.2,2018
30,Colombia,49.4,39.8,19.6,2018
31,Morocco,36.1,37.9,13.7,2018
32,Turkey,81.9,37.9,31,2018
33,Vietnam,96.4,37.7,36.3,2018
34,South Africa,57.3,35.5,20.3,2018
35,Iran,82,64.6,53.2,2018
36,Peru,32.5,32.1,10.4,2018
37,Uzbekistan,32.3,31.3,10.1,2018
38,Algeria,42,29.1,12.2,2018
39,Egypt,99.3,28.0,27.8,2018
50,India,1350.0,27.7,374.8,2018
51,Indonesia,266.7,27.4,73.1,2018
52,Ghana,29.4,24.0,7,2018
53,Myanmar,53.8,21.8,11.7,2018
54,Kenya,50.9,20.9,10.6,2018
55,Sudan,41.5,19.7,8.1,2018
56,Bangladesh,166.3,16.1,26.8,2018
57,Uganda,44.2,15.6,6.9,2018
58,Pakistan,200.8,13.8,27.7,2018
59,Nigeria,195.8,13.0,25.5,2018
50,Ethiopia,107.5,11.2,12,2018
