Rank,Country,TotalPopulation(M),SmartphonePenetration(%),SmartphoneUsers(M),Year
1,United Kingdom,67.0,82.9,55.5,2019
2,Germany,82.4,79.9,65.9,2019
3,United States,329.1,79.1,260.2,2019
4,France,65.5,77.5,50.7,2019
5,Spain,46.4,74.3,34.5,2019
6,South Korea,51.3,70.4,36.1,2019
7,Russia,143.9,66.3,95.4,2019
8,Italy,59.2,60.8,36.0,2019
9,China,1420.0,59.9,851.2,2019
10,Japan,126.9,57.2,72.6,2019
11,Iran,82.8,54.8,45.4,2019
12,Turkey,83.0,54.0,44.8,2019
13,Mexico,132.3,49.5,65.6,2019
14,Brazil,212.4,45.6,96.9,2019
15,Vietnam,97.4,44.9,43.7,2019
16,Philippines,108.1,33.6,36.3,2019
17,Indonesia,269.5,31.1,83.9,2019
18,India,1300.0,25.3,345.9,2019
19,Bangladesh,168.1,18.5,31.0,2019
20,Pakistan,204.6,15.9,32.5,2019
